"GEOID","hate","nohate","Hate Percent","Case Rate","Death Rate","Percent Asian","Percent Foreign Born","Percent NH White","Population Density","Income Inequality","Percent Below Poverty"
"42099",0,92,0,203.238462705655,4.1185268679687,0.342488023757397,1.05347581991199,94.2839182364034,32.098686173496,3.5222419344,1.79047536470639
"42103",0,553,0,204.761049227452,1.85052102048149,1.26122888968739,7.17570966582824,79.101688825009,37.9609004821354,4.3667687313,2.18289615522817
"42105",0,9,0,206.113275397063,5.63380281690141,0.419538507641594,0.922984716811507,95.1213664968535,5.96398735716743,4.2147327383,1.92388372789931
"42107",0,2602,0,260.802480008455,4.9247895163279,0.421319618135062,1.98752950294149,88.115686758023,70.0838788607077,4.3687517584,2.39828090323035
"42109",0,338,0,212.993177098784,3.95530505290221,0.689706318599822,1.17423118758034,94.4156036784337,47.1634215644619,3.8490310078,1.77494314248986
"42111",0,381,0,269.879746492606,5.61995558203781,0.366989870537891,0.958777964357294,90.271382915335,26.4029141725523,4.1053310008,2.05026813282054
"42113",0,6,0,196.257038754554,5.9622391520371,0.0662471016893011,2.36833388539251,90.2782378270951,5.15969636652186,4.3648518705,1.42431268631997
"42115",0,187,0,215.17584474436,2.85686139296621,0.443306078218895,1.98502610580238,95.4930548714412,18.8683281170152,4.3373726128,2.30272879519259
"42117",0,245,0,217.326234696631,4.90689172943399,0.591280453396796,1.29296597070586,95.301651169067,13.8624277110511,4.2196263806,2.36512181358718
"42119",0,491,0,277.085052753675,3.47973500479579,1.83801387432803,3.21652428007406,80.7476969061587,54.5524069286112,4.3846122615,1.35174321340144
"42121",0,472,0,235.790088598968,4.8486028624282,0.35244864180703,0.689319443092201,94.3316132801091,29.0794607466929,4.0418348624,2.72417486125986
"42123",0,696,0,205.873410023818,5.52374195510059,0.415547559924999,1.45948411290731,94.4129123802767,16.980698853089,4.0219682086,2.26777479349313
"42127",0,346,0,219.279082468596,3.45244597019583,0.711945072949988,3.5577748303035,87.0777092923461,26.4087240283494,4.1650146997,1.62674572832956
"42131",0,228,0,209.54280227491,4.21005982716596,0.435778122461038,1.28517615776645,90.974222616146,25.8424836125615,4.0076058707,2.0422483196691
"44001",0,2538,0,325.418850858259,3.67972042347621,1.99609415150581,10.3402199609415,89.8530167540343,664.860765149654,5.2464420225,1.10391612704286
"45001",0,143,0,282.523797900903,2.80693190139126,0.630542673500936,2.41233422829713,67.7040110650069,18.5298927423319,5.2192066806,3.49849483361809
